City,Country,Date,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Samarai,PG,1567557974,-10.62,150.67,72.58,72,96,9.01
Inuvik,CA,1567557976,68.36,-133.71,55.4,62,75,8.05
Lebu,ET,1567557977,8.96,38.73,54.22,87,60,2.01
Souillac,FR,1567557978,45.6,-0.6,60.01,72,0,2.24
Jamestown,AU,1567557979,-33.21,138.6,63.04,61,58,2.68
Naze,NG,1567557981,5.43,7.07,74.38,96,100,4.47
Dongsheng,CN,1567557982,29.72,112.52,73.48,77,0,5.77
kadykchan,,,,,,,,
Sainte-Marie,CA,1567557985,46.45,-71.03,61,93,90,2.24
High Level,CA,1567557986,58.52,-117.13,71.6,49,75,4.7
Moose Factory,CA,1567557987,51.26,-80.61,51.8,66,1,8.05
Acapulco,MX,1567557989,16.86,-99.88,86,74,40,8.05
Ponta Delgada,PT,1567557990,37.73,-25.67,71.01,77,75,11.41
Cape Coast,GH,1567557808,5.11,-1.24,74.92,93,46,6.58
Saint-Philippe,CA,1567557993,45.36,-73.48,64.4,82,40,7.58
Aleksandrov Gay,RU,1567557994,50.14,48.57,52.78,72,0,7.29
Turukhansk,RU,1567557974,65.8,87.96,42.16,85,53,5.21
Aksarka,RU,1567557996,66.56,67.8,48.64,90,100,2.44
Nouadhibou,MR,1567557990,20.93,-17.03,75.2,69,7,16.11
Port Alfred,ZA,1567557961,-33.59,26.89,59,83,19,3
Tiksi,RU,1567558000,71.64,128.87,40.18,91,65,6.8
Cabo San Lucas,MX,1567557833,22.89,-109.91,89.01,74,75,9.15
Putyatino,RU,1567558003,54.16,41.12,49,86,0,5.64
Naryan-Mar,RU,1567558004,67.67,53.09,50.98,91,17,8.52
Birpur,IN,1567558005,26.48,86.75,83.02,71,100,4.81
Pimentel,BR,1567558007,-3.7,-45.5,77.44,82,24,3.2
Puerto del Rosario,ES,1567558008,28.5,-13.86,71.6,78,0,6.93
Constitucion,MX,1567557651,23.99,-104.67,72,46,75,3.36
Bandarbeyla,SO,1567557930,9.49,50.81,76.54,64,11,25.77
Isangel,VU,1567557624,-19.55,169.27,77,61,40,11.41
sentyabrskiy,,,,,,,,
Petatlan,MX,1567558014,17.52,-101.27,87.8,70,75,11.41
tsihombe,,,,,,,,
Kaitangata,NZ,1567558017,-46.28,169.85,51.01,61,100,4
Bambous Virieux,MU,1567558018,-20.34,57.76,68,84,1,1.01
Half Moon Bay,US,1567558019,37.46,-122.43,80.01,88,90,12.75
Orsha,BY,1567558021,54.51,30.43,52.6,94,100,15.28
Gambela,ET,1567558022,8.25,34.59,70.24,85,100,3.18
Kamenka,MD,1567558023,48.03,28.7,57,87,100,1.99
Kodiak,US,1567558025,39.95,-94.76,86,78,1,4.7
belushya guba,,,,,,,,
Saldanha,PT,1567558027,41.42,-6.55,71.14,37,0,2.01
Tehri,IN,1567558028,30.38,78.48,68.26,89,47,4.72
samusu,,,,,,,,
Jacareacanga,BR,1567558031,-6.22,-57.76,81.4,54,68,2.48
Smyrna,US,1567558032,35.98,-86.52,87.01,51,1,4.7
Mitsamiouli,KM,1567558034,-11.38,43.28,76.72,83,17,15.19
nizhneyansk,,,,,,,,
Ekpoma,NG,1567558036,6.74,6.14,73.12,98,98,4.59
Lata,IN,1567558037,30.78,78.62,39.46,86,70,1.88
Upernavik,GL,1567558039,72.79,-56.15,37.84,58,22,11.54
Yellowknife,CA,1567558040,62.45,-114.38,50,71,75,8.05
Surt,LY,1567558041,31.21,16.59,80.14,78,0,16.96
Zyryanka,RU,1567558043,65.73,150.89,59.8,36,48,8.57
Gazanjyk,TM,1567558044,39.24,55.52,66.28,44,0,5.01
Ahipara,NZ,1567558045,-35.17,173.16,62.01,100,61,8.99
haibowan,,,,,,,,
Dingle,PH,1567558048,11,122.67,80.32,78,100,5.06
Omboue,GA,1567558049,-1.57,9.26,75.82,83,38,15.48
Pevek,RU,1567557379,69.7,170.27,39.1,78,0,1.48
Farim,GW,1567558052,12.48,-15.22,82.4,88,100,5.68
Potosi,BO,1567558053,-19.59,-65.75,45.58,43,10,5.75
Vardo,US,1567558054,39.62,-77.74,78.01,69,1,3.36
Husavik,CA,1567558056,50.56,-96.99,57.99,59,77,7.76
Nikolskoye,RU,1567558057,59.7,30.79,55.99,87,75,4.47
Almeirim,BR,1567558058,-1.53,-52.58,76.9,83,5,2.91
Kashan,IR,1567558060,33.99,51.44,53.68,47,0,3.4
alotau,,,,,,,,
Ploufragan,FR,1567558062,48.49,-2.79,55.99,87,0,4.7
Rio Gallegos,AR,1567558063,-51.62,-69.22,33.8,64,40,9.17
Callaguip,PH,1567558065,18.07,120.49,78.8,88,90,6.93
Abilene,US,1567557797,32.45,-99.73,93.2,24,1,9.17
Griffith,AU,1567558067,-34.29,146.06,64.4,48,0,5.82
La Ronge,CA,1567557769,55.1,-105.3,59,82,90,5.82
louisbourg,,,,,,,,
Empangeni,ZA,1567558071,-28.75,31.9,64.84,47,0,3.27
Gornyy,RU,1567558072,51.76,48.54,49.54,87,0,7.25
San Quintin,PH,1567558074,17.54,120.52,77.98,81,88,2.59
Klaksvik,FO,1567558075,62.23,-6.59,48.2,66,85,11.41
Georgetown,GY,1567558070,6.8,-58.16,82.4,83,0,9.17
Alice Springs,AU,1567558078,-23.7,133.88,82.4,7,0,17.22
Udachnyy,RU,1567558079,66.42,112.4,41,93,40,4.03
Timbuktu,ML,1567558080,16.77,-3.01,92.38,40,49,13.71
East London,ZA,1567558082,-33.02,27.91,52.06,81,0,5.64
Suwalki,PL,1567558083,54.11,22.93,53.01,94,4,7.78
Raudeberg,NO,1567558084,61.99,5.14,50,81,17,11.41
Camacha,PT,1567558086,33.08,-16.33,69.8,73,20,6.93
Toma,BF,1567558087,12.76,-2.9,77.26,76,14,4.03
Axim,GH,1567558088,4.87,-2.24,75.28,92,33,5.93
Alamos,AR,1567558090,-36.9,-62.36,41.26,37,0,11.86
Sudak,UA,1567558091,44.85,34.97,64.12,48,0,3.2
Mar del Plata,AR,1567558092,-46.43,-67.52,33.88,59,53,10.76
amderma,,,,,,,,
warqla,,,,,,,,
Chicama,PE,1567558087,-7.84,-79.15,62.6,88,0,6.93
Portland,US,1567557562,43.66,-70.25,64.4,88,75,5.82
Bilibino,RU,1567558098,68.06,166.44,43.6,42,0,3.04
Chalchihuites,MX,1567558100,23.48,-103.88,66.28,66,62,10.13
Avarua,CK,1567558038,-21.21,-159.78,75.2,60,13,14.99
Bandar-e Lengeh,IR,1567558102,26.56,54.88,87.8,66,9,4.7
Bubaque,GW,1567558104,11.28,-15.83,82.12,82,100,13.24
Port Arthur,US,1567558003,29.9,-93.93,89.6,62,40,4.7
Bonthe,SL,1567558106,7.53,-12.5,77.08,90,100,8.84
Lagoa,PT,1567558107,37.14,-8.45,77,78,0,4.7
Quatre Cocos,MU,1567558109,-20.21,57.76,68,84,1,1.01
Osa,RU,1567558110,57.28,55.46,42.34,96,0,4.34
Rawlins,US,1567558111,41.79,-107.24,80.6,21,1,9.17
Vanimo,PG,1567558052,-2.67,141.3,81.04,74,4,5.26
palabuhanratu,,,,,,,,
Bonavista,CA,1567558115,48.65,-53.11,59,78,100,7
Tasiilaq,GL,1567558117,65.61,-37.64,41,58,49,4.7
Guaymas,MX,1567558118,27.92,-110.9,93.99,63,20,23.04
Chapais,CA,1567558119,49.78,-74.86,51.8,62,90,6.93
Iqaluit,CA,1567558120,63.75,-68.52,42.8,81,90,23.04
Havre-Saint-Pierre,CA,1567557843,50.23,-63.6,50,87,20,8.05
Puerto Escondido,MX,1567558123,15.86,-97.07,82.84,75,37,3.02
mrirt,,,,,,,,
bocaranga,,,,,,,,
Ijero,NG,1567558127,6.48,3.38,75.82,92,100,6.53
sakakah,,,,,,,,
attawapiskat,,,,,,,,
Awbari,LY,1567558131,26.59,12.77,83.38,24,0,11.01
Norman Wells,CA,1567557387,65.28,-126.83,53.6,87,90,3.36
Nha Trang,VN,1567558133,12.24,109.19,84.2,70,20,19.46
Dikson,RU,1567558134,73.51,80.55,38.2,88,89,6.49
Nelson Bay,AU,1567558136,-32.72,152.14,72,48,0,11.41
marcona,,,,,,,,
China,MX,1567558138,25.71,-99.24,82.84,63,100,7.47
Ca Mau,VN,1567558139,9.18,105.15,79.06,86,100,7.36
Esperance,AU,1567558141,-33.86,121.89,50,76,0,24.16
Muswellbrook,AU,1567558142,-32.27,150.89,75,31,0,7.72
Necochea,AR,1567557931,-38.55,-58.74,44.01,69,46,17
Staryy Nadym,RU,1567558145,65.61,72.68,47.56,87,99,5.26
Troitskaya,RU,1567558146,43.31,44.98,59,87,0,2.95
Along,IN,1567558147,28.17,94.8,59.8,98,100,1.25
Martinsville,US,1567558135,36.69,-79.87,80.6,94,1,1.63
Mount Gambier,AU,1567558150,-37.83,140.78,51.8,100,90,10.29
Madera,US,1567558151,36.96,-120.06,100.4,20,1,11.41
Harbour Breton,CA,1567558153,47.48,-55.8,61.6,98,100,20.38
Pisco,PE,1567558154,-13.71,-76.2,71.6,30,0,12.75
Torbat-e Jam,IR,1567558155,35.24,60.63,58.54,28,0,9.24
kuche,,,,,,,,
Erenhot,CN,1567558158,43.65,111.97,72.58,24,30,8.81
Hasaki,JP,1567558159,35.73,140.83,73.4,88,75,11.41
Haines Junction,CA,1567558160,60.75,-137.51,54.04,44,100,5.01
Richards Bay,ZA,1567558162,-28.77,32.06,70.24,69,0,9.82
Aksu,KZ,1567558163,52.04,76.93,42.8,100,77,2.24
Lanigan,CA,1567558164,51.85,-105.03,71.14,47,0,5.82
Saskylakh,RU,1567558166,71.97,114.09,43.42,72,99,9.71
Dergachi,RU,1567558167,51.24,48.77,49.9,85,0,7.38
Chuy,UY,1567558168,-33.69,-53.46,45.22,60,16,14.41
Cidreira,BR,1567558170,-30.17,-50.22,52.96,62,71,4.54
Nabire,ID,1567558171,-3.36,135.5,69.88,98,100,2.98
korla,,,,,,,,
Rogatica,BA,1567558173,43.8,19,55.4,93,75,2.24
Kutum,SD,1567557602,14.2,24.66,80.14,34,28,9.06
Berlevag,NO,1567558176,70.86,29.09,51.52,73,0,20.13
tumannyy,,,,,,,,
Smithers,CA,1567557900,54.78,-127.17,64.4,68,75,11.41
Dwarka,IN,1567557946,28.58,77.04,84.2,89,75,2.08
Bulgan,MN,1567558181,48.81,103.53,54.04,92,62,3.24
Coquimbo,CL,1567557637,-29.95,-71.34,51.8,87,75,9.17
Castro,CL,1567558183,-42.48,-73.76,42.8,74,0,6.93
Umm Lajj,SA,1567558185,25.02,37.27,85,74,100,11.88
Staraya Poltavka,RU,1567558186,50.48,46.48,53.86,63,5,4.34
Taltal,CL,1567558187,-25.41,-70.49,50.26,79,50,1.97
Nanortalik,GL,1567558189,60.14,-45.24,47.02,92,100,11.3
Torzhok,RU,1567558190,57.04,34.97,56.02,96,0,2.26
Chernyshevskiy,RU,1567558191,63.01,112.47,50.08,92,96,5.84
Korop,UA,1567558193,51.57,32.95,59.62,98,8,7.81
La Baule-Escoublac,FR,1567558194,47.28,-2.4,59,93,0,3.36
Careiro da Varzea,BR,1567558195,-3.2,-59.81,82.4,69,40,8.05
phan rang,,,,,,,,
Taoudenni,ML,1567558198,22.68,-3.98,97.78,24,25,16.44
Vilhena,BR,1567558199,-12.74,-60.15,77,65,61,4.7
Ilulissat,GL,1567558201,69.22,-51.1,48.2,45,24,19.46
Beringovskiy,RU,1567558202,63.05,179.32,42.7,88,100,7.78
Tatarsk,RU,1567558203,55.22,75.96,44.68,93,94,6.71
Haimen,CN,1567558205,31.87,121.18,82,95,71,4.74
Ibra,OM,1567558206,22.69,58.55,82.12,37,52,2.55
Diamantino,BR,1567558207,-14.4,-56.44,87.16,29,27,4.05
Port Moresby,PG,1567558008,-9.47,147.16,80.6,69,40,25.28
Thul,PK,1567558210,28.24,68.77,87.8,74,40,11.41
Terme,TR,1567558211,41.21,36.97,63,93,40,3.36
Lingao,CN,1567558213,19.91,109.69,83.56,81,100,25.17
Iskateley,RU,1567558214,67.68,53.15,50.98,91,17,8.52
vastervik,,,,,,,,
Westport,US,1567558216,41.14,-73.36,73,77,1,4.7
Muzhi,RU,1567558218,65.4,64.7,46.84,82,95,4.29
Bondo,CD,1567558178,3.81,23.69,68.62,99,100,1.16
Belo Oriente,BR,1567558220,-19.22,-42.48,69.8,77,0,4.7
Nome,US,1567558222,30.04,-94.42,90,49,1,4.7
Talnakh,RU,1567558223,69.49,88.39,44.6,100,90,6.71
Lapua,FI,1567558224,62.97,23.01,46.99,100,0,4.7
Miri,NG,1567558226,10.31,9.75,72.04,86,100,4.52
Churapcha,RU,1567558090,62,132.43,51.16,93,98,6.58
Sredniy Ikorets,RU,1567558228,51.07,39.76,63.4,51,39,10.31
odweyne,,,,,,,,
Revda,RU,1567558231,67.94,34.55,47.2,85,100,2.91
Kieta,PG,1567558232,-6.22,155.63,83.02,71,64,5.93
Airai,TL,1567557634,-8.93,125.41,78.34,43,6,0.81
Preobrazheniye,RU,1567558234,42.9,133.91,73.66,57,0,2.51
Galesong,ID,1567558236,-5.32,119.37,78.8,61,20,6.93
umzimvubu,,,,,,,,
Severo-Kurilsk,RU,1567558238,50.68,156.12,50.44,94,100,9.75
Nhulunbuy,AU,1567558240,-12.18,136.78,80.6,57,20,14.99
gurskoye,,,,,,,,
Hay River,CA,1567558242,60.82,-115.79,62.6,67,75,12.75
Solenzo,BF,1567558244,12.18,-4.08,73.48,92,45,2.71
Shaping,CN,1567558245,29.23,103.26,57.1,97,94,1.3
Okhotsk,RU,1567558246,59.36,143.24,58.54,73,21,1.03
Aklavik,CA,1567558248,68.22,-135.01,55.4,62,75,8.05
Mikhaylovka,RU,1567558249,52.96,103.29,56.02,84,36,1.1
De Aar,ZA,1567558250,-30.65,24.01,48.46,12,0,3.65
Tingi,TZ,1567558251,-11.3,35.03,65.92,67,8,4.59
Mount Isa,AU,1567558253,-20.73,139.49,78.8,16,100,9.17
Shakiso,ET,1567558254,5.77,38.9,55.12,94,77,0.96
Yamada,JP,1567558255,36.58,137.08,80.6,88,75,2.24
Rockport,US,1567558257,28.02,-97.05,87.8,70,1,12.75
Kirksville,US,1567558258,40.19,-92.58,84.2,73,1,8.05
Haicheng,CN,1567558259,40.85,122.74,72.04,71,97,3.83
Lavrentiya,RU,1567557969,65.58,-170.99,45.4,95,100,9.95
Bodden Town,KY,1567558270,19.28,-81.25,86,74,20,5.77
Codrington,AU,1567558271,-28.95,153.24,84,20,0,10.29
Kalmunai,LK,1567558273,7.42,81.82,74.2,81,100,1.63
Geraldton,CA,1567558274,49.72,-86.95,50,71,90,8.05
Soure,PT,1567558275,40.06,-8.63,64.4,77,0,1.12
Iralaya,HN,1567558276,15,-83.23,86,66,87,3.42
Khor,RU,1567558278,47.88,134.96,60.52,86,55,5.82
wazzan,,,,,,,,
West Melbourne,US,1567558280,28.07,-80.65,79,94,90,13.87
Dunmore East,IE,1567558282,52.15,-6.99,60.01,85,63,4
Nantucket,US,1567558217,41.28,-70.1,66.99,88,1,4.7
Dzhebariki-Khaya,RU,1567558284,62.22,135.8,51.52,93,100,8.9
Akureyri,IS,1567558286,65.68,-18.09,39.2,86,90,4.7
Hammerfest,NO,1567558287,70.66,23.68,53.6,58,0,19.46
Rafraf,TN,1567558288,37.19,10.18,75.2,64,20,5.82
samalaeulu,,,,,,,,
San Patricio,PY,1567558291,-26.98,-56.83,55.48,80,0,8.34
Soyo,AO,1567558292,-6.13,12.37,72.58,85,46,12.62
Inongo,CD,1567558293,-1.93,18.29,71.5,89,100,2.1
Boende,CD,1567558295,-0.28,20.88,71.86,92,98,2.06
Panama City,US,1567558196,30.16,-85.65,87.8,58,1,8.05
Malatya,TR,1567558297,38.35,38.32,70,28,0,6.93
Port Hawkesbury,CA,1567558299,45.62,-61.36,64.99,100,90,2.24
Rongcheng,CN,1567558300,37.16,122.42,70.96,85,100,18.39
Tugulym,RU,1567558301,57.06,64.64,45,100,90,2.24
Aquiraz,BR,1567558303,-3.9,-38.39,80.6,69,40,12.75
Torbay,CA,1567558304,47.66,-52.73,61,93,90,20.8
Lamu,CN,1567558305,35.77,102.37,54.76,74,0,0.76
Mahebourg,MU,1567558307,-20.41,57.7,68,84,1,1.99
Huarmey,PE,1567558308,-10.07,-78.15,60.52,91,0,10.42
Bud,NO,1567558309,62.91,6.91,53.6,62,86,11.41
Kavieng,PG,1567558310,-2.57,150.8,83.38,77,54,10.92
Port Macquarie,AU,1567558312,-31.43,152.91,73,40,0,3.36
Alacranes,CU,1567558313,22.77,-81.57,77,94,75,4.7
chardara,,,,,,,,
Katsuura,JP,1567558316,33.93,134.5,86,88,75,2.24
Port Lincoln,AU,1567558317,-34.72,135.86,57.82,84,64,6.38
Youghal,IE,1567558318,51.95,-7.85,60.01,87,40,11.41
Cartaxo,PT,1567558320,39.16,-8.79,77,44,0,4.7
Jhanjharpur,IN,1567558321,26.21,86.23,83.38,71,100,4.32
Muros,ES,1567558322,42.77,-9.06,70,72,0,4.7
grand river south east,,,,,,,,
Kloulklubed,PW,1567558325,7.04,134.26,77,88,90,12.75
Barmer,IN,1567558326,25.74,71.4,82.12,81,100,14.7
Maragogi,BR,1567558327,-9.01,-35.22,69.16,94,0,2.28
bengkulu,,,,,,,,
Chimbote,PE,1567558330,-9.08,-78.59,60.34,90,14,10.58
Rome,IT,1567558040,41.89,12.48,75.2,73,40,4.7
Toora-Khem,RU,1567558332,52.47,96.11,45.76,86,50,1.81
Arona,IT,1567558334,45.76,8.56,71.01,73,75,5.82
Gravdal,NO,1567558335,59.79,5.78,53.01,76,95,9.17
Trincomalee,LK,1567558336,8.58,81.23,78.34,74,100,9.89
Louth,GB,1567558338,53.37,0,63,77,73,13.87
Straumen,NO,1567558339,63.87,11.3,52,81,75,11.41
Namatanai,PG,1567558340,-3.66,152.44,81.4,77,60,10.85
Hambantota,LK,1567558342,6.12,81.12,77,100,75,14.7
Biggar,CA,1567558153,52.06,-107.98,73.66,43,2,8.14
Margate,AU,1567558344,-43.03,147.26,55.4,54,75,12.75
Te Anau,NZ,1567558346,-45.41,167.72,43.06,84,100,1.01
Yumen,CN,1567558347,40.29,97.04,69.7,29,20,9.75
Champerico,MX,1567558348,16.38,-93.6,82.4,61,75,8.05
Evensk,RU,1567558350,61.92,159.24,54.04,41,88,4.07
Corrente,BR,1567558351,-17.45,-44.68,72.58,35,0,3.69
Erzurum,TR,1567558352,39.91,41.27,57.2,54,0,9.17
Port-Gentil,GA,1567558354,-0.72,8.78,76.18,84,14,14.14
Sokol,RU,1567558355,59.46,40.11,50.44,85,16,5.77
Pandan,PH,1567558356,11.72,122.09,82.12,79,100,11.48
Santa Cruz del Sur,CU,1567558358,20.71,-78,80.32,77,100,4.99
Manggar,ID,1567558359,-2.88,108.27,79.06,70,89,6.82
Grindavik,IS,1567558360,63.84,-22.43,44.6,87,0,8.05
asau,,,,,,,,
Parabel,RU,1567558363,58.71,81.5,47.38,92,100,5.14
Quang Ngai,VN,1567558320,15.12,108.8,76.54,79,100,1.77
Hovd,NO,1567558365,63.83,10.7,53.01,81,75,11.41
Komsomolskiy,RU,1567558367,67.55,63.78,45.94,83,93,6.11
Carutapera,BR,1567558368,-1.2,-46.02,78.34,81,63,7.4
Tambovka,RU,1567558369,47.32,47.38,58.72,46,0,2.66
Xichang,CN,1567558371,27.88,102.25,56.2,93,97,0.45
olafsvik,,,,,,,,
Usta Muhammad,PK,1567558373,28.18,68.05,94.18,45,35,4.45
Antofagasta,CL,1567558374,-23.65,-70.4,57.2,76,75,10.29
Yashkul,RU,1567558376,46.17,45.34,63.58,40,28,3.44
Faanui,PF,1567558377,-16.48,-151.75,77.8,85,44,18.79
Srednekolymsk,RU,1567558378,67.46,153.71,55.84,33,52,10.87
Charsadda,PK,1567558380,34.14,71.73,82.4,78,20,4.7
Leeuwarden,NL,1567558381,53.2,5.79,62.6,82,75,6.93
Palmerston,AU,1567558348,-12.49,130.99,80.6,54,0,5.82
Finschhafen,PG,1567558384,-6.6,147.85,73.48,72,64,5.64
Noumea,NC,1567558385,-22.28,166.46,73.99,64,75,13.87
Kalabo,ZM,1567558387,-15,22.67,66.46,32,0,2.86
Bilma,NE,1567558388,18.69,12.92,93.64,16,0,3.96
Veracruz,EC,1567558389,-3.97,-79.57,65.02,74,29,4.34
Avera,US,1567558391,33.19,-82.53,86,78,1,3.36
Leningradskiy,RU,1567558392,69.38,178.42,35.32,80,99,2.71
Alta Floresta,BR,1567558393,-9.87,-56.08,86.62,27,29,0.78
Novyy Urengoy,RU,1567558394,66.08,76.63,46.48,94,100,7.56
Beisfjord,NO,1567558396,68.38,17.6,51.01,87,94,24.16
Sungaipenuh,ID,1567558373,-2.08,101.38,72.4,92,93,2.06
Hobyo,SO,1567558398,5.35,48.53,76.9,79,4,24.67
berbera,,,,,,,,
Sassandra,CI,1567558401,4.95,-6.09,72.76,98,48,2.21
Jalingo,NG,1567558402,10.3,10.93,75.1,87,100,5.88
Hamilton,CA,1567558384,43.26,-79.87,73,78,90,18.34
Saint-Francois,FR,1567558405,46.42,3.91,48.2,81,0,2.24
Yenagoa,NG,1567558406,4.92,6.26,75.28,94,100,2.73
Rio Cuarto,AR,1567558407,-33.13,-64.35,39.2,55,0,4.83
urdzhar,,,,,,,,
bossembele,,,,,,,,
Atar,MR,1567558411,20.52,-13.05,94.54,28,93,11.77
Cockburn Town,TC,1567558267,21.46,-71.14,84.1,79,0,16.73
Guataqui,CO,1567558414,4.52,-74.79,84.2,37,75,5.82
Namibe,AO,1567558415,-15.19,12.15,64.3,84,28,8.66
Vyazma,RU,1567558416,55.21,34.3,58,94,0,5.86
Semypolky,UA,1567558418,50.72,30.95,61,82,75,8.95
Scottsbluff,US,1567558204,41.87,-103.67,80.6,36,1,8.05
Yerbogachen,RU,1567558420,61.28,108.01,48.28,79,89,10.96
Kochkurovo,RU,1567558422,54.03,45.43,48.28,85,0,2.46
labutta,,,,,,,,
Ust-Kuyga,RU,1567558424,70,135.55,54.76,51,98,2.01
Sorong,ID,1567558127,-0.86,131.25,75.28,94,100,4.74
Djambala,CG,1567558427,-2.55,14.76,71.32,85,59,7.72
